Date,Price_per_oz_PKR,Price_per_gram_PKR
02/01/07,38940,1251.94
03/01/07,38661,1242.99
04/01/07,38149,1226.53
05/01/07,37534,1206.76
08/01/07,37088,1192.42
09/01/07,37372,1201.53
10/01/07,37248,1197.54
11/01/07,37340,1200.52
12/01/07,37719,1212.71
15/01/07,38318,1231.96
16/01/07,38195,1227.99
17/01/07,38200,1228.16
18/01/07,38517,1238.36
19/01/07,38431,1235.59
22/01/07,38709,1244.52
23/01/07,39051,1255.52
24/01/07,39186,1259.86
25/01/07,39511,1270.31
26/01/07,39175,1259.51
29/01/07,39103,1257.21
30/01/07,39066,1256.00
31/01/07,39330,1264.48
01/02/07,39942,1284.16
02/02/07,39682,1275.79
05/02/07,39410,1267.05
06/02/07,39792,1279.34
07/02/07,39769,1278.60
08/02/07,39901,1282.86
09/02/07,40321,1296.35
12/02/07,40386,1298.45
13/02/07,40377,1298.15
14/02/07,40610,1305.64
15/02/07,40634,1306.41
16/02/07,40528,1303.00
19/02/07,40863,1313.76
20/02/07,40486,1301.66
21/02/07,40422,1299.59
22/02/07,41156,1323.21
23/02/07,41456,1332.83
26/02/07,41633,1338.52
27/02/07,41212,1325.00
28/02/07,40832,1312.79
01/03/07,40838,1312.96
02/03/07,39806,1279.80
05/03/07,38795,1247.28
06/03/07,39070,1256.14
07/03/07,39458,1268.60
08/03/07,39589,1272.81
09/03/07,39727,1277.26
12/03/07,39625,1273.98
13/03/07,39398,1266.69
14/03/07,38950,1252.27
15/03/07,39377,1265.99
16/03/07,39545,1271.39
19/03/07,39728,1277.29
20/03/07,39838,1280.81
21/03/07,40006,1286.21
22/03/07,40315,1296.16
23/03/07,40079,1288.58
26/03/07,40167,1291.40
27/03/07,40308,1295.95
28/03/07,40402,1298.95
29/03/07,40320,1296.30
30/03/07,40449,1300.47
02/04/07,40321,1296.36
03/04/07,40349,1297.26
04/04/07,40855,1313.51
05/04/07,40917,1315.53
09/04/07,40881,1314.35
10/04/07,41343,1329.21
11/04/07,41187,1324.20
12/04/07,41156,1323.19
13/04/07,41483,1333.70
16/04/07,41604,1337.60
17/04/07,41941,1348.44
18/04/07,41778,1343.19
19/04/07,41648,1339.01
20/04/07,41954,1348.86
23/04/07,41824,1344.67
24/04/07,41651,1339.12
25/04/07,41531,1335.26
26/04/07,40970,1317.20
27/04/07,41433,1332.10
30/04/07,41204,1324.73
01/05/07,40916,1315.47
02/05/07,40791,1311.46
03/05/07,41381,1330.42
04/05/07,41774,1343.07
07/05/07,41728,1341.59
08/05/07,41666,1339.58
09/05/07,41229,1325.56
10/05/07,40352,1297.34
11/05/07,40654,1307.05
14/05/07,40540,1303.39
16/05/07,40230,1293.43
17/05/07,39968,1284.99
18/05/07,40231,1293.47
22/05/07,40052,1287.69
23/05/07,40183,1291.92
24/05/07,39707,1276.60
25/05/07,39841,1280.93
28/05/07,39795,1279.44
29/05/07,39881,1282.19
30/05/07,39729,1277.32
31/05/07,40196,1292.32
01/06/07,40779,1311.08
04/06/07,40874,1314.14
05/06/07,40638,1306.55
06/06/07,40704,1308.67
07/06/07,40077,1288.51
08/06/07,39343,1264.90
11/06/07,39652,1274.85
12/06/07,39390,1266.41
13/06/07,39501,1269.99
14/06/07,39776,1278.83
15/06/07,39766,1278.50
18/06/07,39772,1278.70
19/06/07,40084,1288.73
20/06/07,39663,1275.21
21/06/07,39756,1278.18
22/06/07,39715,1276.86
25/06/07,39459,1268.63
26/06/07,38789,1247.08
27/06/07,38928,1251.56
28/06/07,39290,1263.19
29/06/07,39274,1262.70
03/07/07,39447,1268.24
04/07/07,39503,1270.06
05/07/07,39188,1259.92
06/07/07,39596,1273.03
09/07/07,39884,1282.29
10/07/07,40135,1290.37
11/07/07,39947,1284.33
12/07/07,40301,1295.72
13/07/07,40365,1297.78
16/07/07,40244,1293.87
17/07/07,40213,1292.89
18/07/07,40750,1310.13
19/07/07,40960,1316.90
20/07/07,41331,1328.81
23/07/07,41250,1326.23
24/07/07,41249,1326.19
25/07/07,40894,1314.78
26/07/07,40150,1290.86
