Date,Price_per_oz_PKR,Price_per_gram_PKR
02/01/07,38940.0,1251.94
03/01/07,38661.0,1242.99
04/01/07,38149.0,1226.53
05/01/07,37534.0,1206.76
06/01/07,37311.0,1199.59
07/01/07,37311.0,1199.59
08/01/07,37088.0,1192.42
09/01/07,37372.0,1201.53
10/01/07,37248.0,1197.54
11/01/07,37340.0,1200.52
12/01/07,37719.0,1212.71
13/01/07,38018.0,1222.34
14/01/07,38018.0,1222.34
15/01/07,38318.0,1231.96
16/01/07,38195.0,1227.99
17/01/07,38200.0,1228.16
18/01/07,38517.0,1238.36
19/01/07,38431.0,1235.59
20/01/07,38570.0,1240.05
21/01/07,38570.0,1240.05
22/01/07,38709.0,1244.52
23/01/07,39051.0,1255.52
24/01/07,39186.0,1259.86
25/01/07,39511.0,1270.31
26/01/07,39175.0,1259.51
27/01/07,39139.0,1258.36
28/01/07,39139.0,1258.36
29/01/07,39103.0,1257.21
30/01/07,39066.0,1256.0
31/01/07,39330.0,1264.48
01/02/07,39942.0,1284.16
02/02/07,39682.0,1275.79
03/02/07,39546.0,1271.42
04/02/07,39546.0,1271.42
05/02/07,39410.0,1267.05
06/02/07,39792.0,1279.34
07/02/07,39769.0,1278.6
08/02/07,39901.0,1282.86
09/02/07,40321.0,1296.35
10/02/07,40354.0,1297.4
11/02/07,40354.0,1297.4
12/02/07,40386.0,1298.45
13/02/07,40377.0,1298.15
14/02/07,40610.0,1305.64
15/02/07,40634.0,1306.41
16/02/07,40528.0,1303.0
17/02/07,40696.0,1308.38
18/02/07,40696.0,1308.38
19/02/07,40863.0,1313.76
20/02/07,40486.0,1301.66
21/02/07,40422.0,1299.59
22/02/07,41156.0,1323.21
23/02/07,41456.0,1332.83
24/02/07,41544.0,1335.67
25/02/07,41544.0,1335.67
26/02/07,41633.0,1338.52
27/02/07,41212.0,1325.0
28/02/07,40832.0,1312.79
01/03/07,40838.0,1312.96
02/03/07,39806.0,1279.8
03/03/07,39300.0,1263.54
04/03/07,39300.0,1263.54
05/03/07,38795.0,1247.28
06/03/07,39070.0,1256.14
07/03/07,39458.0,1268.6
08/03/07,39589.0,1272.81
09/03/07,39727.0,1277.26
10/03/07,39676.0,1275.62
11/03/07,39676.0,1275.62
12/03/07,39625.0,1273.98
13/03/07,39398.0,1266.69
14/03/07,38950.0,1252.27
15/03/07,39377.0,1265.99
16/03/07,39545.0,1271.39
17/03/07,39636.0,1274.34
18/03/07,39636.0,1274.34
19/03/07,39728.0,1277.29
20/03/07,39838.0,1280.81
21/03/07,40006.0,1286.21
22/03/07,40315.0,1296.16
23/03/07,40079.0,1288.58
24/03/07,40123.0,1289.99
25/03/07,40123.0,1289.99
26/03/07,40167.0,1291.4
27/03/07,40308.0,1295.95
28/03/07,40402.0,1298.95
29/03/07,40320.0,1296.3
30/03/07,40449.0,1300.47
31/03/07,40385.0,1298.41
01/04/07,40385.0,1298.41
02/04/07,40321.0,1296.36
03/04/07,40349.0,1297.26
04/04/07,40855.0,1313.51
05/04/07,40917.0,1315.53
06/04/07,40899.0,1314.94
07/04/07,40899.0,1314.94
08/04/07,40899.0,1314.94
09/04/07,40881.0,1314.35
10/04/07,41343.0,1329.21
11/04/07,41187.0,1324.2
12/04/07,41156.0,1323.19
13/04/07,41483.0,1333.7
14/04/07,41544.0,1335.65
15/04/07,41544.0,1335.65
16/04/07,41604.0,1337.6
17/04/07,41941.0,1348.44
18/04/07,41778.0,1343.19
19/04/07,41648.0,1339.01
20/04/07,41954.0,1348.86
21/04/07,41889.0,1346.76
22/04/07,41889.0,1346.76
23/04/07,41824.0,1344.67
24/04/07,41651.0,1339.12
25/04/07,41531.0,1335.26
26/04/07,40970.0,1317.2
27/04/07,41433.0,1332.1
28/04/07,41318.0,1328.41
29/04/07,41318.0,1328.41
30/04/07,41204.0,1324.73
01/05/07,40916.0,1315.47
02/05/07,40791.0,1311.46
03/05/07,41381.0,1330.42
04/05/07,41774.0,1343.07
05/05/07,41751.0,1342.33
06/05/07,41751.0,1342.33
07/05/07,41728.0,1341.59
08/05/07,41666.0,1339.58
09/05/07,41229.0,1325.56
10/05/07,40352.0,1297.34
11/05/07,40654.0,1307.05
12/05/07,40597.0,1305.22
13/05/07,40597.0,1305.22
14/05/07,40540.0,1303.39
15/05/07,40385.0,1298.41
16/05/07,40230.0,1293.43
17/05/07,39968.0,1284.99
18/05/07,40231.0,1293.47
19/05/07,40142.0,1290.58
20/05/07,40142.0,1290.58
21/05/07,40142.0,1290.58
22/05/07,40052.0,1287.69
23/05/07,40183.0,1291.92
24/05/07,39707.0,1276.6
25/05/07,39841.0,1280.93
26/05/07,39818.0,1280.18
27/05/07,39818.0,1280.18
28/05/07,39795.0,1279.44
29/05/07,39881.0,1282.19
