Date,Price_per_oz_PKR,Price_per_gram_PKR
02/01/07,795.45,25.57
03/01/07,784.2,25.21
04/01/07,769.29,24.73
05/01/07,758.97,24.4
06/01/07,751.91,24.17
07/01/07,751.91,24.17
08/01/07,744.85,23.95
09/01/07,755.95,24.3
10/01/07,755.1,24.28
11/01/07,756.64,24.33
12/01/07,768.28,24.7
13/01/07,778.12,25.02
14/01/07,778.12,25.02
15/01/07,787.95,25.33
16/01/07,778.12,25.02
17/01/07,771.87,24.82
18/01/07,779.42,25.06
19/01/07,776.16,24.95
20/01/07,782.35,25.15
21/01/07,782.35,25.15
22/01/07,788.53,25.35
23/01/07,799.03,25.69
24/01/07,801.63,25.77
25/01/07,813.72,26.16
26/01/07,808.85,26.0
27/01/07,807.14,25.95
28/01/07,807.14,25.95
29/01/07,805.43,25.89
30/01/07,804.06,25.85
31/01/07,814.22,26.18
01/02/07,830.76,26.71
02/02/07,820.21,26.37
03/02/07,817.94,26.3
04/02/07,817.94,26.3
05/02/07,815.67,26.23
06/02/07,830.46,26.7
07/02/07,831.49,26.73
08/02/07,832.91,26.78
09/02/07,842.51,27.09
10/02/07,838.46,26.96
11/02/07,838.46,26.96
12/02/07,834.42,26.83
13/02/07,840.49,27.02
14/02/07,850.4,27.34
15/02/07,849.17,27.3
16/02/07,846.57,27.22
17/02/07,849.99,27.33
18/02/07,849.99,27.33
19/02/07,853.41,27.44
20/02/07,846.21,27.21
21/02/07,846.66,27.22
22/02/07,864.57,27.8
23/02/07,879.82,28.29
24/02/07,883.38,28.4
25/02/07,883.38,28.4
26/02/07,886.94,28.52
27/02/07,876.2,28.17
28/02/07,866.07,27.84
01/03/07,853.39,27.44
02/03/07,807.11,25.95
03/03/07,787.67,25.32
04/03/07,787.67,25.32
05/03/07,768.23,24.7
06/03/07,780.71,25.1
07/03/07,788.05,25.34
08/03/07,790.68,25.42
09/03/07,789.11,25.37
10/03/07,789.67,25.39
11/03/07,789.67,25.39
12/03/07,790.24,25.41
13/03/07,784.34,25.22
14/03/07,771.61,24.81
15/03/07,789.29,25.38
16/03/07,794.3,25.54
17/03/07,796.46,25.61
18/03/07,796.46,25.61
19/03/07,798.62,25.68
20/03/07,804.68,25.87
21/03/07,805.66,25.9
22/03/07,813.35,26.15
23/03/07,806.55,25.93
24/03/07,807.25,25.95
25/03/07,807.25,25.95
26/03/07,807.95,25.98
27/03/07,808.04,25.98
28/03/07,810.25,26.05
29/03/07,808.71,26.0
30/03/07,813.17,26.14
31/03/07,809.58,26.03
01/04/07,809.58,26.03
02/04/07,805.98,25.91
03/04/07,810.7,26.07
04/04/07,824.25,26.5
05/04/07,828.01,26.62
06/04/07,831.49,26.73
07/04/07,831.49,26.73
08/04/07,831.49,26.73
09/04/07,834.96,26.84
10/04/07,847.47,27.25
11/04/07,843.6,27.12
12/04/07,842.05,27.07
13/04/07,855.22,27.5
14/04/07,850.21,27.34
15/04/07,850.21,27.34
16/04/07,845.2,27.17
17/04/07,853.41,27.44
18/04/07,846.11,27.2
19/04/07,835.03,26.85
20/04/07,845.82,27.19
21/04/07,847.94,27.26
22/04/07,847.94,27.26
23/04/07,850.06,27.33
24/04/07,839.29,26.98
25/04/07,837.24,26.92
26/04/07,809.34,26.02
27/04/07,824.46,26.51
28/04/07,819.65,26.35
29/04/07,819.65,26.35
30/04/07,814.84,26.2
01/05/07,807.99,25.98
02/05/07,801.5,25.77
03/05/07,812.51,26.12
04/05/07,815.16,26.21
05/05/07,817.19,26.27
06/05/07,817.19,26.27
07/05/07,819.22,26.34
08/05/07,821.15,26.4
09/05/07,811.02,26.07
10/05/07,789.59,25.39
11/05/07,800.59,25.74
12/05/07,798.88,25.68
13/05/07,798.88,25.68
14/05/07,797.17,25.63
15/05/07,791.15,25.44
16/05/07,785.14,25.24
17/05/07,782.29,25.15
18/05/07,787.72,25.33
19/05/07,786.57,25.29
20/05/07,786.57,25.29
21/05/07,786.57,25.29
22/05/07,785.42,25.25
23/05/07,792.06,25.46
24/05/07,781.21,25.12
25/05/07,786.32,25.28
26/05/07,786.13,25.27
27/05/07,786.13,25.27
28/05/07,785.94,25.27
29/05/07,799.37,25.7
30/05/07,800.47,25.74
31/05/07,816.85,26.26
01/06/07,831.13,26.72
02/06/07,833.16,26.79
03/06/07,833.16,26.79
04/06/07,835.2,26.85
05/06/07,834.41,26.83
06/06/07,831.76,26.74
07/06/07,817.11,26.27
08/06/07,794.98,25.56
09/06/07,798.48,25.67
10/06/07,798.48,25.67
11/06/07,801.97,25.78
12/06/07,791.08,25.43
13/06/07,794.57,25.55
14/06/07,801.0,25.75
15/06/07,803.2,25.82
16/06/07,802.2,25.79
17/06/07,802.2,25.79
18/06/07,801.2,25.76
19/06/07,807.92,25.98
20/06/07,798.9,25.68
21/06/07,798.65,25.68
22/06/07,791.75,25.45
23/06/07,785.95,25.27
24/06/07,785.95,25.27
25/06/07,780.15,25.08
26/06/07,742.15,23.86
27/06/07,745.16,23.96
28/06/07,755.4,24.29
29/06/07,750.55,24.13
30/06/07,755.5,24.29
01/07/07,755.5,24.29
02/07/07,755.5,24.29
03/07/07,760.44,24.45
04/07/07,764.53,24.58
05/07/07,754.41,24.25
06/07/07,767.59,24.68
07/07/07,767.92,24.69
08/07/07,767.92,24.69
09/07/07,768.26,24.7
10/07/07,781.67,25.13
11/07/07,779.63,25.07
12/07/07,792.13,25.47
13/07/07,789.1,25.37
14/07/07,786.43,25.28
15/07/07,786.43,25.28
16/07/07,783.76,25.2
17/07/07,781.34,25.12
18/07/07,797.75,25.65
19/07/07,802.21,25.79
20/07/07,801.15,25.76
21/07/07,801.18,25.76
22/07/07,801.18,25.76
23/07/07,801.22,25.76
24/07/07,802.24,25.79
25/07/07,795.34,25.57
26/07/07,777.89,25.01
27/07/07,764.6,24.58
28/07/07,772.6,24.84
29/07/07,772.6,24.84
30/07/07,780.6,25.1
31/07/07,778.27,25.02
01/08/07,777.7,25.0
02/08/07,783.19,25.18
03/08/07,790.36,25.41
04/08/07,790.47,25.41
05/08/07,790.47,25.41
06/08/07,790.47,25.41
07/08/07,790.57,25.42
08/08/07,793.93,25.52
09/08/07,767.07,24.66
10/08/07,775.4,24.93
11/08/07,774.31,24.89
12/08/07,774.31,24.89
13/08/07,773.22,24.86
14/08/07,767.62,24.68
15/08/07,755.36,24.29
16/08/07,715.49,23.0
17/08/07,711.12,22.86
18/08/07,712.12,22.9
19/08/07,712.12,22.9
20/08/07,713.13,22.93
21/08/07,701.18,22.54
22/08/07,707.56,22.75
23/08/07,709.89,22.82
24/08/07,726.74,23.36
25/08/07,720.44,23.16
26/08/07,720.44,23.16
27/08/07,714.15,22.96
28/08/07,714.76,22.98
29/08/07,723.26,23.25
30/08/07,715.29,23.0
31/08/07,733.11,23.57
01/09/07,739.96,23.79
02/09/07,739.96,23.79
03/09/07,739.96,23.79
04/09/07,746.81,24.01
05/09/07,743.33,23.9
06/09/07,753.09,24.21
07/09/07,760.07,24.44
08/09/07,759.57,24.42
09/09/07,759.57,24.42
10/09/07,759.07,24.41
11/09/07,769.29,24.73
12/09/07,766.14,24.63
13/09/07,758.84,24.4
14/09/07,759.85,24.43
15/09/07,767.54,24.68
16/09/07,767.54,24.68
17/09/07,775.22,24.92
18/09/07,790.58,25.42
19/09/07,784.53,25.22
20/09/07,810.69,26.06
21/09/07,820.93,26.39
22/09/07,818.93,26.33
23/09/07,818.93,26.33
24/09/07,816.93,26.27
25/09/07,815.78,26.23
26/09/07,810.45,26.06
27/09/07,820.75,26.39
28/09/07,836.62,26.9
29/09/07,835.44,26.86
30/09/07,835.44,26.86
01/10/07,834.26,26.82
02/10/07,810.21,26.05
03/10/07,807.13,25.95
04/10/07,812.79,26.13
05/10/07,815.03,26.2
06/10/07,816.86,26.26
07/10/07,816.86,26.26
08/10/07,816.86,26.26
09/10/07,818.68,26.32
10/10/07,823.81,26.49
11/10/07,835.07,26.85
12/10/07,837.15,26.91
13/10/07,837.44,26.92
14/10/07,837.44,26.92
15/10/07,837.74,26.93
16/10/07,827.45,26.6
17/10/07,828.22,26.63
18/10/07,837.08,26.91
19/10/07,820.05,26.36
20/10/07,818.26,26.31
21/10/07,818.26,26.31
22/10/07,816.47,26.25
23/10/07,823.74,26.48
24/10/07,825.73,26.55
25/10/07,844.96,27.17
26/10/07,865.35,27.82
27/10/07,874.29,28.11
28/10/07,874.29,28.11
29/10/07,883.22,28.4
30/10/07,859.67,27.64
31/10/07,880.05,28.29
01/11/07,860.07,27.65
02/11/07,890.9,28.64
03/11/07,892.6,28.7
04/11/07,892.6,28.7
05/11/07,894.3,28.75
06/11/07,949.17,30.52
07/11/07,904.52,29.08
08/11/07,942.49,30.3
09/11/07,940.62,30.24
10/11/07,918.85,29.54
11/11/07,918.85,29.54
12/11/07,918.85,29.54
13/11/07,897.08,28.84
14/11/07,918.2,29.52
15/11/07,881.56,28.34
16/11/07,884.79,28.45
17/11/07,876.86,28.19
18/11/07,876.86,28.19
19/11/07,868.92,27.94
20/11/07,900.2,28.94
21/11/07,882.06,28.36
22/11/07,887.09,28.52
23/11/07,903.52,29.05
24/11/07,901.72,28.99
25/11/07,901.72,28.99
26/11/07,899.93,28.93
27/11/07,890.53,28.63
28/11/07,883.65,28.41
29/11/07,867.27,27.88
30/11/07,857.5,27.57
01/12/07,861.13,27.69
02/12/07,861.13,27.69
03/12/07,864.76,27.8
04/12/07,881.59,28.34
05/12/07,874.14,28.1
06/12/07,887.4,28.53
07/12/07,879.75,28.29
08/12/07,888.77,28.57
09/12/07,888.77,28.57
10/12/07,897.8,28.86
11/12/07,889.85,28.61
12/12/07,898.95,28.9
13/12/07,867.68,27.9
14/12/07,843.98,27.14
15/12/07,844.57,27.15
16/12/07,844.57,27.15
17/12/07,845.15,27.17
18/12/07,858.79,27.61
19/12/07,866.76,27.87
20/12/07,870.13,27.98
21/12/07,881.48,28.34
22/12/07,885.97,28.48
23/12/07,885.97,28.48
24/12/07,890.46,28.63
25/12/07,895.62,28.8
26/12/07,900.79,28.96
27/12/07,899.56,28.92
28/12/07,905.7,29.12
29/12/07,911.88,29.32
30/12/07,911.88,29.32
31/12/07,918.06,29.52
01/01/08,930.4,29.91
02/01/08,942.75,30.31
03/01/08,951.24,30.58
04/01/08,948.58,30.5
05/01/08,946.53,30.43
06/01/08,946.53,30.43
07/01/08,944.47,30.36
08/01/08,976.52,31.4
09/01/08,977.14,31.42
10/01/08,1004.78,32.3
11/01/08,1009.13,32.44
12/01/08,1013.63,32.59
13/01/08,1013.63,32.59
14/01/08,1018.13,32.73
15/01/08,991.43,31.88
16/01/08,988.76,31.79
17/01/08,993.77,31.95
18/01/08,1012.23,32.54
19/01/08,990.34,31.84
20/01/08,990.34,31.84
21/01/08,968.45,31.14
22/01/08,1000.46,32.17
23/01/08,1006.25,32.35
24/01/08,1025.62,32.98
25/01/08,1028.4,33.06
26/01/08,1037.74,33.36
27/01/08,1037.74,33.36
28/01/08,1047.07,33.66
29/01/08,1048.19,33.7
30/01/08,1057.51,34.0
31/01/08,1057.53,34.0
01/02/08,1051.25,33.8
02/02/08,1052.19,33.83
03/02/08,1052.19,33.83
04/02/08,1053.13,33.86
05/02/08,1027.87,33.05
06/02/08,1035.9,33.3
07/02/08,1054.48,33.9
08/02/08,1078.13,34.66
09/02/08,1088.46,34.99
10/02/08,1088.46,34.99
11/02/08,1098.79,35.33
12/02/08,1082.25,34.8
